college,您的年級是？(文),您的年級是？(理),您的年級是？(管),您的年級是？(海),您的年級是？(社),您的年級是？(工),您的年級是？(西),您來自哪一個學系呢？(文),您來自哪一個學系呢？(理),您來自哪一個學系呢？(工),您來自哪一個學系呢？(管),您來自哪一個學系呢？(海),您來自哪一個學系呢？(社),您的性別,是否為外籍生？,來自哪一個國家呢？,toeic_test,toeic_total,toeic_listening,toeic_year,是否有考托福／雅思？,toefl,ielts,self_study,bilingual_year,confident_level ,English_Course,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by Subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,yes_no,agree1,agree2,agree3,agree4,agree5,agree6,還有其他原因導致您贊成英文授課嗎？,disagree1,disagree2,disagree3,disagree4,disagree5,disagree6,disagree7
社會科學院,,,,,大三,,,,,,,,社會系,生理女,否,,是,445,225,2020,否,,,0,0,5,是,選修,"國際文化體驗
",Arts & Humanities,贊成,是,選修,"地球生命概論
",Natural Sciences,不贊成,是,選修,高雄社會與文化,Social Sciences & Managemen,非常不贊成,不贊成,,,,,,,,同意,非常同意,非常同意,同意,非常同意,不同意,同意
管理學院,,,大一,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,5,6以上,4,是,選修,觀光英語,Arts & Humanities,贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,同意,非常同意,同意,非常同意,不同意
管理學院,,,大一,,,,,,,,企管系,,,生理女,否,,是,865,450,2019,否,,,1,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大二,,,,,,,,財管系,,,生理女,否,,是,765,415,2019,否,,,4,0,5,是,選修,歐美經典小說,Arts & Humanities,沒意見,否,,,,,,,,,,贊成,非常同意,非常同意,非常同意,同意,同意,非常同意,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海科系,,生理男,否,,是,860,430,2019,否,,,0,0,5,是,選修,全球環境變遷概論,Natural Sciences,贊成,否,,,,,,,,,,不贊成,,,,,,,,非常不同意,同意,普通,普通,非常同意,同意,非常不同意
管理學院,,,大二,,,,,,,,資管系,,,生理男,否,,是,900,465,2020,否,,,1,6,4,是,選修,全球化社會的倫理道德,Social Sciences & Management,非常贊成,否,,,,,,,,,,不贊成,,,,,,,,非常不同意,非常同意,非常同意,普通,同意,非常同意,非常不同意
管理學院,,,大四,,,,,,,,資管系,,,生理女,否,,是,790,380,2020,否,,,2,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,外文系,,,,,,生理女,否,,是,860,480,2018,否,,,10,0,9,是,必修,語言學概論,Arts & Humanities,贊成,是,必修,英國文學,Arts & Humanities,非常贊成,是,必修,系上的聽說讀寫,Arts & Humanities,贊成,不贊成,,,,,,,,非常不同意,同意,非常不同意,非常不同意,非常同意,非常同意,非常不同意
管理學院,,,大一,,,,,,,,資管系,,,生理女,否,,是,625,350,2020,否,,,1,0,4,是,選修,科技英文,Engineering and Technology,非常贊成,否,,,,,,,,,,贊成,普通,非常同意,非常同意,同意,普通,普通,,,,,,,,
理學院,,大二,,,,,,,生科系,,,,,生理男,否,,是,715,350,2019,否,,,4,2,2,是,選修,從建築工藝中探尋高雄故事,Arts & Humanities,贊成,否,,,,,,,,,,贊成,不同意,非常同意,非常同意,同意,同意,非常同意,,,,,,,,
工學院,,,,,,大二,,,,材光系,,,,生理女,否,,是,830,430,2019,否,,,10,0,1,是,必修,光概,Natural Sciences,不贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,非常同意,非常同意,同意,非常同意,普通
工學院,,,,,,大三,,,,材光系,,,,生理女,否,,是,630,335,2020,否,,,1,1,4,是,選修,高分子物理,Natural Sciences,贊成,是,選修,材料機械性質,Engineering and Technology,贊成,否,,,,,贊成,同意,非常同意,非常同意,非常同意,普通,非常同意,,,,,,,,
理學院,,大二,,,,,,,生科系,,,,,生理女,否,,是,755,400,2019,否,,,5,0,3,是,選修,科學的本質,Natural Sciences,贊成,否,,,,,,,,,,贊成,普通,非常同意,非常同意,非常同意,非常同意,普通,,,,,,,,
管理學院,,,大一,,,,,,,,企管系,,,生理女,否,,是,745,455,2018,否,,,2,3,8,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,資管系,,,生理男,否,,是,650,350,2020,否,,,0,1,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,資管系,,,生理男,否,,否,,,,否,,,1,0,4,是,選修,當代西洋外交史,Social Sciences & Management,贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,非常同意,同意,非常同意,非常同意,非常不同意
管理學院,,,大二,,,,,,,,資管系,,,生理女,否,,是,940,495,2019,否,,,0,6以上,9,是,必修,統計學,Social Sciences & Management,贊成,否,,,,,,,,,,贊成,普通,同意,同意,同意,同意,不同意,,,,,,,,
理學院,,大二,,,,,,,生科系,,,,,生理女,否,,是,550,275,2019,否,,,5,6,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,劇藝系,,,,,,生理女,否,,否,,,,否,,,0,0,1,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社會科學院,,,,,大二,,,,,,,,社會系,生理男,否,,是,810,400,2019,否,,,3,2,8,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,外文系,,,,,,生理女,否,,是,825,425,2019,否,,,17,0,7,是,必修,語言學概論,Arts & Humanities,贊成,是,必修,英語口語訓練,Arts & Humanities,贊成,是,必修,文學作品導讀,Arts & Humanities,不贊成,不贊成,,,,,,,,不同意,同意,不同意,普通,同意,普通,不同意
管理學院,,,大三,,,,,,,,財管系,,,生理女,否,,否,,,,否,,,2,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大一,,,,材光系,,,,生理女,否,,是,760,320,2019,否,,,0,0,4,是,必修,光電科技概論,Engineering and Technology,不贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,普通,同意,同意,非常同意,非常不同意
海洋科學學院,,,,大一,,,,,,,,海科系,,生理男,否,,是,595,290,2020,否,,,2,5,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大三,,,,,,,化學系,,,,,生理男,否,,否,,,,否,,,1,6以上,5,是,必修,普通化學,Natural Sciences,贊成,否,,,,,,,,,,贊成,普通,非常同意,非常同意,非常同意,普通,普通,英文是潮流,,,,,,,
管理學院,,,大四,,,,,,,,資管系,,,生理女,否,,是,890,435,2019,否,,,0,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大一,,,,,,,生科系,,,,,生理女,否,,是,780,400,2020,否,,,2,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大三,,,,,,,,海資系,,生理男,否,,否,,,,否,,,20,6,6,是,選修,科學的本質,Natural Sciences,非常贊成,否,,,,,,,,,,贊成,同意,非常同意,非常同意,非常同意,普通,非常同意,,,,,,,,
海洋科學學院,,,,大三,,,,,,,,海資系,,生理男,否,,否,,,,否,,,6,6以上,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大二,,,,電機系,,,,生理男,否,,否,,,,否,,,2,0,5,是,必修,線性代數,Natural Sciences,非常不贊成,否,,,,,,,,,,不贊成,,,,,,,,不同意,非常同意,不同意,不同意,同意,非常同意,非常不同意
工學院,,,,,,大二,,,,電機系,,,,生理男,否,,是,825,435,2019,否,,,4,0,1,是,必修,線性代數,Natural Sciences,沒意見,是,必修,訊號與系統,Engineering and Technology,沒意見,否,,,,,贊成,同意,同意,非常不同意,普通,同意,同意,,,,,,,,
管理學院,,,大一,,,,,,,,資管系,,,生理女,否,,是,840,440,2018,否,,,0,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社會科學院,,,,,大三,,,,,,,,社會系,生理女,否,,否,,,,否,,,15,3,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大一,,,,,,,,資管系,,,生理女,否,,是,755,375,2017,否,,,1,6以上,8,是,選修,科技英文,Engineering and Technology,沒意見,否,,,,,,,,,,贊成,不同意,同意,同意,普通,不同意,同意,,,,,,,,
海洋科學學院,,,,大三,,,,,,,,海資系,,生理男,否,,是,650,350,2018,否,,,10,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大三,,,,,,,,海工系,,生理女,否,,是,660,265,2018,否,,,2,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大二,,,,,,,,財管系,,,生理女,否,,否,,,,否,,,2,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海工系,,生理男,否,,否,,,,否,,,4,0,4,是,選修,全球環境及氣候變遷,Natural Sciences,贊成,是,選修,氣膠生醫概論,Life Sciences & Medicine,不贊成,否,,,,,不贊成,,,,,,,,普通,非常同意,普通,同意,同意,同意,不同意
管理學院,,,大二,,,,,,,,資管系,,,生理女,否,,是,835,460,2019,否,,,0,0,3,是,必修,統計學(二),Social Sciences & Management,非常不贊成,否,,,,,,,,,,不贊成,,,,,,,,非常同意,非常同意,非常同意,同意,普通,普通,不同意
工學院,,,,,,大二,,,,電機系,,,,生理男,否,,否,,,,否,,,10,0,4,是,必修,訊號與系統,Engineering and Technology,不贊成,是,必修,線性代數,Natural Sciences,非常不贊成,否,,,,,不贊成,,,,,,,,不同意,非常同意,普通,不同意,普通,普通,不同意
社會科學院,,,,,大一,,,,,,,,政經系,生理男,否,,是,745,390,2020,否,,,0,0,3,是,必修,統計學（一）,Social Sciences & Management,非常不贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,普通,普通,非常同意,非常同意,普通
管理學院,,,大二,,,,,,,,財管系,,,生理女,否,,是,805,430,2019,否,,,4,3,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大一,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,3,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,否,,,3,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大二,,,,,,,,財管系,,,生理女,否,,否,,,,否,,,0,4,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大一,,,,,,,,資管系,,,生理男,否,,否,,,,否,,,2,0,3,是,選修,英文寫作,Arts & Humanities,贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,同意,同意,同意,同意,普通,非常不同意
管理學院,,,大二,,,,,,,,資管系,,,生理女,否,,是,830,450,2010,否,,,2,0,7,是,必修,統計,Social Sciences & Management,贊成,否,,,,,,,,,,贊成,普通,同意,同意,同意,不同意,普通,,,,,,,,
社會科學院,,,,,大二,,,,,,,,政經系,生理女,否,,否,,,,否,,,0,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社會科學院,,,,,大二,,,,,,,,政經系,生理女,否,,否,,,,否,,,5,5,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大二,,,,電機系,,,,生理男,否,,是,695,285,2019,否,,,1,6,5,是,必修,線性代數,Natural Sciences,非常不贊成,是,必修,訊號與系統,Engineering and Technology,不贊成,否,,,,,不贊成,,,,,,,,同意,非常同意,同意,非常同意,同意,同意,普通
工學院,,,,,,大二,,,,電機系,,,,生理男,否,,是,765,330,2018,否,,,0,0,7,是,必修,線性代數,Natural Sciences,非常不贊成,是,必修,訊號與系統,Engineering and Technology,非常不贊成,否,,,,,不贊成,,,,,,,,不同意,非常同意,普通,同意,不同意,普通,不同意
管理學院,,,大二,,,,,,,,財管系,,,生理女,否,,是,700,315,2021,否,,,0,0,1,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,外文系,,,,,,生理女,否,,是,895,475,2019,否,,,4,0,4,是,必修,外文系必選修大一大二,Arts & Humanities,沒意見,否,,,,,,,,,,贊成,普通,同意,普通,普通,同意,普通,沒有,,,,,,,
文學院,大一,,,,,,,外文系,,,,,,生理女,否,,是,900,450,2019,否,,,18,0,9,是,必修,應用英語與溝通,Arts & Humanities,非常贊成,是,必修,西洋文學概論,Arts & Humanities,非常贊成,否,,,,,不贊成,,,,,,,,非常不同意,普通,非常不同意,非常不同意,非常不同意,非常同意,非常不同意
工學院,,,,,,大一,,,,電機系,,,,生理女,否,,是,755,400,2019,否,,,2,2,4,是,必修,線性代數,Natural Sciences,不贊成,否,,,,,,,,,,不贊成,,,,,,,,非常同意,非常同意,同意,非常同意,非常同意,非常同意,非常不同意
社會科學院,,,,,大四,,,,,,,,政經系,生理女,否,,是,880,480,2020,否,,,9,2,4,是,選修,國際現勢與公民視野,Social Sciences & Management,非常贊成,否,,,,,,,,,,贊成,同意,同意,同意,同意,普通,普通,,,,,,,,
理學院,,大二,,,,,,,物理系,,,,,生理女,否,,否,,,,有考托福,85,,0,0,9,是,選修,高雄建築工業什麼的,Arts & Humanities,沒意見,否,,,,,,,,,,贊成,普通,非常同意,普通,非常同意,同意,普通,,,,,,,,
工學院,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,否,,,4,0,0,是,必修,英文,Arts & Humanities,非常不贊成,否,,,,,,,,,,不贊成,,,,,,,,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常不同意
文學院,大二,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,3,6,1,是,必修,調性與音樂理論,Arts & Humanities,不贊成,否,,,,,,,,,,不贊成,,,,,,,,非常同意,非常同意,同意,同意,同意,普通,不同意
文學院,大三,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,0,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大四,,,,,,,,資管系,,,生理女,否,,是,800,380,2017,否,,,3,3,5,是,選修,軟體工程,Engineering and Technology,沒意見,是,選修,多媒體英文與溝通,,贊成,是,選修,應用英語與溝通,,贊成,不贊成,,,,,,,,普通,同意,同意,同意,普通,同意,不同意
社會科學院,,,,,大二,,,,,,,,社會系,生理男,否,,是,665,330,2020,否,,,1,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海工系,,生理男,否,,是,670,350,2019,否,,,0,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大四,,,,,,,外文系,,,,,,生理男,否,,是,970,495,2021,有考托福,100,,14,6以上,9,是,選修,亞太企業經營管理實務,Social Sciences & Management,不贊成,是,選修,國際現勢與公民視野,,非常贊成,否,,,,,不贊成,,,,,,,,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,同意,非常不同意
文學院,大二,,,,,,,外文系,,,,,,生理女,否,,否,,,,否,,,3,1,9,是,必修,英國文學史、西洋文學概論、文學導讀、英語聽力、英語口語訓練、英語閱讀、語言學概論,Arts & Humanities,非常贊成,是,選修,應用英語,,非常贊成,否,,,,,贊成,同意,同意,普通,普通,非常同意,普通,,,,,,,,
文學院,大二,,,,,,,外文系,,,,,,生理男,否,,是,980,490,2019,否,,,11,2,9,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大四,,,,,,,外文系,,,,,,生理女,是,馬來西亞 ,是,890,495,2020,否,,,20,6以上,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大四,,,,,,,外文系,,,,,,生理女,否,,是,820,400,2021,否,,,12,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大四,,,,,,,,海資系,,生理女,是,馬來西亞,是,880,800,2017,否,,,3,6以上,6,是,選修,國際現勢與公民視野,Social Sciences & Management,非常贊成,是,選修,海洋分子生態學,,非常贊成,否,,,,,贊成,同意,非常同意,非常同意,非常同意,非常同意,非常同意,無,,,,,,,
文學院,大三,,,,,,,外文系,,,,,,生理男,否,,是,970,495,2021,否,,,10,5,9,是,選修,科學的本質,Natural Sciences,非常贊成,是,選修,國際現勢與公民視野,,非常贊成,否,,,,,贊成,非常同意,非常同意,非常同意,非常同意,普通,非常同意,無,,,,,,,
文學院,大四,,,,,,,音樂系,,,,,,生理男,否,,否,,,,否,,,1,6以上,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,有考托福,50,,10,4,8,是,選修,全球社會的倫理道德,Social Sciences & Management,非常贊成,是,選修,後真相時代的批判性思考,,非常贊成,是,選修,數位訊號處理,,贊成,贊成,非常同意,非常同意,同意,非常同意,普通,同意,能增進英文聽力及口頭表達能力（有上台報告的機會）,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理男,否,,否,,,,否,,,8,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,企管系,,,生理女,否,,是,0,0,2021,否,,,10,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,碩班,,,,,,,,生理男,是,馬來西亞,是,675,350,2020,否,,,0,3,4,是,選修,當代西洋外交史,Social Sciences & Management,沒意見,是,選修,國際現勢與發展,,沒意見,否,,,,,不贊成,,,,,,,,普通,同意,同意,同意,同意,非常同意,不同意
工學院,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,否,,,0,0,3,是,選修,奈米科技概論,Engineering and Technology,沒意見,否,,,,,,,,,,不贊成,,,,,,,,普通,同意,同意,同意,同意,普通,不同意
工學院,,,,,,大三,,,,資工系,,,,生理男,否,,是,650,325,2018,否,,,1,2,2,是,必修,"Python
Unix",Engineering and Technology,沒意見,否,,,,,,,,,,贊成,同意,同意,同意,普通,普通,普通,,,,,,,,
管理學院,,,大四,,,,,,,,企管系,,,生理男,否,,是,740,380,2020,否,,,10,3,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大三,,,,機電系,,,,生理男,否,,是,950,495,2019,否,,,9,1,6,是,選修,批判性思考,Arts & Humanities,非常贊成,否,,,,,,,,,,贊成,同意,同意,同意,同意,同意,普通,選修課可以，但是必修課沒必要,,,,,,,
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,是,750,390,2017,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大一,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,1,0,1,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,音樂系,,,,,,生理男,否,,否,,,,否,,,0,6,4,是,必修,調性音樂理論,Arts & Humanities,沒意見,是,必修,音樂基礎訓練,,沒意見,否,,,,,贊成,普通,同意,普通,同意,同意,普通,,,,,,,,
文學院,大二,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,0,3,4,是,必修,調性,Arts & Humanities,不贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通
文學院,碩班,,,,,,,,,,,,,生理女,否,,否,,,,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大一,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,5,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,2,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,3,0,2,是,必修,音樂基礎訓練、調性理論與和聲分析,Arts & Humanities,不贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,同意,同意,同意,同意,不同意
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,2,6以上,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大一,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,8,3,5,是,選修,台灣政治,Social Sciences & Management,沒意見,否,,,,,,,,,,贊成,普通,同意,同意,同意,普通,不同意,沒有,,,,,,,
管理學院,,,大四,,,,,,,,資管系,,,生理男,否,,是,885,485,2017,托福、雅思皆考過,90,6.5,8,6以上,7,是,選修,國際現勢與公民視野,Social Sciences & Management,非常贊成,否,,,,,,,,,,贊成,不同意,非常同意,非常同意,同意,非常不同意,同意,但必修課不贊成，同時有(統計)專業知識要吸收，稍顯吃力！,,,,,,,
管理學院,,,大二,,,,,,,,資管系,,,生理女,否,,是,830,430,2019,有考托福,75,,0,0,5,是,必修,統計學,Social Sciences & Management,不贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,非常同意,普通,同意,普通,不同意
文學院,大二,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,5,0,4,是,必修,音樂調性理論,Arts & Humanities,沒意見,否,,,,,,,,,,贊成,普通,同意,普通,普通,普通,普通,,,,,,,,
文學院,碩班,,,,,,,,,,,,,生理女,否,,否,,,,否,,,0,6以上,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大三,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,1,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大三,,,,,,,音樂系,,,,,,生理女,否,,是,790,450,2019,否,,,2,0,1,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大四,,,,材光系,,,,生理男,否,,是,620,360,2019,否,,,5,0,4,是,選修,"光電科技概論
高分子導論
材料物理性質
高分子物理",Engineering and Technology,不贊成,否,,,,,,,,,,贊成,普通,同意,同意,普通,不同意,不同意,,,,,,,,
文學院,大一,,,,,,,音樂系,,,,,,生理男,否,,否,,,,否,,,1,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大三,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,6,0,7,是,選修,社會行銷,Social Sciences & Management,贊成,否,,,,,,,,,,贊成,同意,同意,非常同意,同意,同意,同意,,,,,,,,
