college,您的年級是？(文),您的年級是？(理),您的年級是？(管),您的年級是？(海),您的年級是？(社),您的年級是？(工),您的年級是？(西),您來自哪一個學系呢？(文),您來自哪一個學系呢？(理),您來自哪一個學系呢？(工),您來自哪一個學系呢？(管),您來自哪一個學系呢？(海),您來自哪一個學系呢？(社),您的性別,是否為外籍生？,來自哪一個國家呢？,toeic_test,toeic_total,toeic_listening,toeic_year,是否有考托福／雅思？,toefl,ielts,self_study,bilingual_year,confident_level ,English_Course,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by Subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,yes_no,agree1,agree2,agree3,agree4,agree5,agree6,還有其他原因導致您贊成英文授課嗎？,disagree1,disagree2,disagree3,disagree4,disagree5,disagree6,disagree7
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,1,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,3,2,4,是,選修,科學本質,Natural Sciences,沒意見,是,必修,英文中高級,,沒意見,否,,,,,不贊成,,,,,,,,同意,同意,非常同意,非常同意,普通,非常同意,不同意
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,0,0,2,是,選修,消費者行為,Social Sciences & Management,沒意見,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通
工學院,,,,,,大一,,,,資工系,,,,生理男,否,,是,770,400,2020,否,,,1,0,3,是,必修,微積分一,Engineering and Technology,不贊成,否,,,,,,,,,,贊成,不同意,同意,非常同意,非常同意,普通,同意,沒有,,,,,,,
管理學院,,,大二,,,,,,,,資管系,,,生理女,否,,是,920,485,2017,否,,,0,1,5,是,必修,統計,Social Sciences & Management,不贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,非常不同意,不同意,普通,普通,非常不同意
文學院,大三,,,,,,,音樂系,,,,,,生理男,否,,否,,,,否,,,7,5,8,是,選修,美國文學1865年後,Arts & Humanities,贊成,是,選修,印度宗教文化與身心健康,,贊成,否,,,,,贊成,同意,非常同意,不同意,同意,不同意,同意,I enjoy,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海工系,,生理男,否,,是,405,205,2017,否,,,0,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西灣學院,,,,,,,大一,,,,,,,生理女,否,,是,730,325,2019,否,,,0,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大一,,,,,,,音樂系,,,,,,生理女,是,香港,否,,,,否,,,4,6,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大一,,,,,,,,資管系,,,生理男,否,,是,750,370,2020,否,,,6,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大二,,,,電機系,,,,生理女,否,,是,850,420,2019,否,,,2,2,2,是,必修,線代,Engineering and Technology,不贊成,是,必修,訊號與系統,,不贊成,否,,,,,不贊成,,,,,,,,普通,非常同意,普通,普通,普通,同意,普通
工學院,,,,,,大四,,,,資工系,,,,生理女,否,,是,895,450,2020,否,,,0,0,4,是,必修,Unix,Engineering and Technology,沒意見,是,選修,Python,,沒意見,否,,,,,不贊成,,,,,,,,不同意,非常同意,普通,同意,非常同意,同意,非常不同意
工學院,,,,,,大三,,,,資工系,,,,生理男,否,,是,715,420,2017,否,,,11,6,4,是,必修,unix,Engineering and Technology,贊成,是,選修,python,,贊成,否,,,,,贊成,同意,同意,同意,非常同意,非常同意,非常同意,,,,,,,,
文學院,大四,,,,,,,音樂系,,,,,,生理女,否,,否,,,,否,,,0,6,4,是,選修,全球化社會的倫理道德,Social Sciences & Management,沒意見,是,必修,調性音樂理論與分析（四）,,非常不贊成,否,,,,,不贊成,,,,,,,,非常同意,非常同意,同意,非常同意,非常同意,非常同意,普通
管理學院,,,大三,,,,,,,,資管系,,,生理男,否,,是,880,450,2019,否,,,4,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,碩班,,,,,,,,,,,生理女,否,,是,985,495,2015,有考托福,115,,10,0,9,是,必修,國際學程課程皆為英語授課,Arts & Humanities,贊成,否,,,,,,,,,,贊成,非常同意,非常同意,不同意,普通,同意,普通,,,,,,,,
文學院,大一,,,,,,,中文系,,,,,,生理女,否,,否,,,,否,,,4,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大三,,,,資工系,,,,生理男,否,,是,830,0,2018,否,,,0,6,7,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,財管系,,,生理男,否,,是,875,455,2018,有考雅思,,7,0,0,6,是,選修,商用英文,Social Sciences & Management,非常贊成,是,選修,全球環境問題與方法?,,非常贊成,否,,,,,不贊成,,,,,,,,非常不同意,非常不同意,同意,不同意,非常同意,非常同意,非常不同意
工學院,,,,,,大一,,,,電機系,,,,生理男,否,,是,750,380,2020,否,,,1,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大二,,,,電機系,,,,生理男,否,,否,,,,否,,,0,0,2,是,必修,訊號與系統,Engineering and Technology,非常不贊成,是,必修,線性代數,,非常不贊成,否,,,,,不贊成,,,,,,,,非常同意,非常同意,普通,非常同意,非常同意,非常同意,非常同意
管理學院,,,大三,,,,,,,,企管系,,,生理女,否,,是,860,450,2020,否,,,7,6以上,9,是,選修,國際人力資源管理,Social Sciences & Management,非常贊成,否,,,,,,,,,,贊成,非常同意,非常同意,非常同意,非常同意,同意,普通,,,,,,,,
工學院,,,,,,大二,,,,光電系,,,,生理男,否,,否,,,,否,,,15,6,4,是,必修,電子學二,Engineering and Technology,贊成,否,,,,,,,,,,贊成,普通,同意,同意,非常同意,非常同意,同意,更國際化，不用特別記中文名詞,,,,,,,
工學院,,,,,,大三,,,,資工系,,,,生理女,否,,否,,,,否,,,2,1,2,是,選修,國際現勢與公民視野,Social Sciences & Management,沒意見,是,必修,unix,,不贊成,是,選修,python,,不贊成,不贊成,,,,,,,,同意,非常同意,普通,同意,同意,非常同意,普通
理學院,,大一,,,,,,,化學系,,,,,生理女,否,,是,550,150,2021,否,,,2,3,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,碩班,,,,,,,,,,,生理男,否,,是,830,400,2021,否,,,8,5,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,碩班,,,,,,,,,,,生理女,否,,是,885,460,2017,有考雅思,,6.5,20,6以上,9,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,財管系,,,生理男,否,,否,,,,否,,,3,1,2,是,選修,商英,Social Sciences & Management,贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,普通,同意,同意,同意,非常不同意
海洋科學學院,,,,大三,,,,,,,,海資系,,生理男,否,,否,,,,否,,,3,6以上,7,是,選修,科學的本質,Natural Sciences,贊成,否,,,,,,,,,,贊成,普通,非常同意,同意,同意,普通,同意,,,,,,,,
管理學院,,,大二,,,,,,,,資管系,,,生理男,否,,是,770,350,2019,否,,,4,0,5,是,必修,統計學(二),Social Sciences & Management,贊成,否,,,,,,,,,,贊成,同意,同意,同意,同意,不同意,同意,無,,,,,,,
理學院,,大二,,,,,,,應數系,,,,,生理男,否,,是,810,455,2019,否,,,0,6以上,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大三,,,,,,,中文系,,,,,,生理男,否,,是,515,240,2018,否,,,1,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大二,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,2,0,5,是,必修,統計學,Social Sciences & Management,不贊成,否,,,,,,,,,,不贊成,,,,,,,,不同意,同意,普通,普通,非常同意,普通,非常不同意
理學院,,大三,,,,,,,物理系,,,,,生理男,否,,是,830,430,2018,否,,,10,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大三,,,,,,,物理系,,,,,生理男,否,,是,650,340,2017,否,,,0,0,4,是,選修,書報討論,Natural Sciences,贊成,否,,,,,,,,,,贊成,不同意,非常同意,非常同意,非常同意,非常同意,不同意,,,,,,,,
理學院,,大三,,,,,,,物理系,,,,,生理男,否,,否,,,,否,,,0,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大三,,,,,,,物理系,,,,,生理男,否,,是,770,385,2019,否,,,14,6以上,8,是,選修,科技英文,Engineering and Technology,沒意見,否,,,,,,,,,,贊成,同意,非常同意,非常同意,非常同意,非常同意,同意,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海工系,,生理男,否,,否,,,,否,,,6,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大一,,,,資工系,,,,生理男,否,,否,,,,否,,,6,4,6,是,選修,python,Engineering and Technology,非常贊成,是,必修,微積分,,贊成,否,,,,,贊成,非常同意,非常同意,同意,非常同意,非常同意,非常同意,我中文不好,,,,,,,
理學院,,大三,,,,,,,應數系,,,,,生理男,否,,是,640,320,2019,否,,,2,6以上,5,是,必修,英文中高級,Arts & Humanities,非常贊成,是,選修,地球生命概論,,沒意見,否,,,,,贊成,普通,不同意,不同意,不同意,普通,不同意,,,,,,,,
工學院,,,,,,大一,,,,材光系,,,,生理男,否,,否,,,,否,,,19,6以上,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大三,,,,,,,生科系,,,,,生理女,否,,否,,,,否,,,0,0,3,是,選修,探尋建築工藝中的高雄故事,Arts & Humanities,非常贊成,否,,,,,,,,,,贊成,普通,普通,同意,同意,同意,普通,,,,,,,,
海洋科學學院,,,,大三,,,,,,,,海工系,,生理女,否,,是,845,430,2019,否,,,3,0,5,是,必修,企管 商事法,Social Sciences & Management,贊成,否,,,,,,,,,,贊成,普通,同意,同意,同意,普通,普通,,,,,,,,
文學院,大一,,,,,,,中文系,,,,,,生理女,否,,否,,,,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大三,,,,,,,化學系,,,,,生理女,否,,是,885,460,2020,有考雅思,,6,3,3,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大三,,,,,,,,海工系,,生理男,否,,否,,,,否,,,1,0,5,是,必修,英文中高級、英文高級,Arts & Humanities,不贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,不同意,普通,非常同意,普通,非常不同意
理學院,,大四,,,,,,,應數系,,,,,生理男,否,,是,350,345,2019,否,,,0,0,5,是,選修,奈米科技概論,Engineering and Technology,沒意見,否,,,,,,,,,,贊成,普通,同意,同意,同意,同意,同意,無,,,,,,,
工學院,,,,,,大三,,,,電機系,,,,生理男,否,,是,830,400,2019,否,,,16,0,6,是,選修,天方夜譚的世界,Arts & Humanities,贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,普通,同意,非常同意,非常同意,非常不同意
海洋科學學院,,,,大三,,,,,,,,海工系,,生理男,否,,否,,,,否,,,10,0,3,是,必修,英文中高級,Arts & Humanities,不贊成,否,,,,,,,,,,不贊成,,,,,,,,非常同意,非常同意,不同意,同意,普通,同意,非常不同意
管理學院,,,大四,,,,,,,,資管系,,,生理男,否,,是,825,450,2020,否,,,1,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大四,,,,材光系,,,,生理女,否,,是,825,425,2020,否,,,4,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,財管系,,,生理女,否,,是,700,350,2018,否,,,0,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大二,,,,,,,,資管系,,,生理男,否,,否,,,,否,,,2,6以上,5,是,選修,探尋建築工藝中的高雄故事,Arts & Humanities,沒意見,否,,,,,,,,,,贊成,普通,同意,同意,同意,不同意,同意,可以使外籍生與僑生有更多可以選擇的課程,,,,,,,
工學院,,,,,,碩班,,,,,,,,生理男,否,,是,500,290,2020,否,,,5,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大二,,,,,,,劇藝系,,,,,,生理女,是,馬來西亞,否,,,,否,,,0,6,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,碩班,,,,,,,,,,,生理女,否,,是,880,440,2020,否,,,4,6以上,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海科系,,生理男,否,,是,800,435,2020,否,,,7,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大四,,,,,,,,財管系,,,生理女,否,,是,790,400,2016,否,,,1,3,4,是,選修,商用英文,Social Sciences & Management,非常贊成,是,選修,國際現勢與公民視野,,非常贊成,是,選修,財務工程概論,,贊成,贊成,不同意,非常同意,同意,同意,同意,普通,,,,,,,,
社會科學院,,,,,大二,,,,,,,,社會系,生理女,否,,是,855,465,2018,否,,,0,0,7,是,選修,地球生命概論,Natural Sciences,沒意見,否,,,,,,,,,,不贊成,,,,,,,,不同意,非常同意,同意,同意,非常同意,非常同意,普通
工學院,,,,,,碩班,,,,,,,,生理男,否,,是,510,230,2019,否,,,0,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海科系,,生理男,否,,是,695,345,2018,有考雅思,,6,2,3,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,碩班,,,,,,,,,,,生理女,否,,否,,,,否,,,20,1,9,是,必修,Research Methodology (GHRM),Social Sciences & Management,非常贊成,否,,,,,,,,,,贊成,同意,普通,同意,同意,同意,同意,累積問卷陰德值，不抽獎(email瞎掰)，祝分析順利。（我高中考過全民英檢中高級，但是沒有這個選項。）,,,,,,,
管理學院,,,大四,,,,,,,,財管系,,,生理女,否,,是,850,425,2021,否,,,2,2,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大一,,,,,,,,財管系,,,生理男,否,,是,680,370,2019,否,,,2,2,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大二,,,,材光系,,,,生理男,否,,是,698,300,2019,否,,,2,5,4,是,選修,社會文化分析,Social Sciences & Management,贊成,否,,,,,,,,,,贊成,普通,非常同意,非常同意,普通,普通,普通,,,,,,,,
工學院,,,,,,大三,,,,光電系,,,,生理男,否,,是,600,350,2018,否,,,0,3,5,是,必修,電子學，工程數學,Engineering and Technology,非常不贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,同意,不同意,同意,同意,非常不同意
工學院,,,,,,大二,,,,機電系,,,,生理男,否,,是,945,460,2020,托福、雅思皆考過,105,7.5,12,4,7,是,必修,電路學,Engineering and Technology,非常不贊成,否,,,,,,,,,,不贊成,,,,,,,,不同意,同意,普通,普通,同意,非常同意,非常不同意
工學院,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,否,,,0,0,5,是,必修,電路學,Engineering and Technology,沒意見,是,選修,奈米科技概論,,沒意見,否,,,,,贊成,普通,非常同意,同意,同意,普通,普通,內容比較少 準備起來比較快速,,,,,,,
工學院,,,,,,大一,,,,資工系,,,,生理男,否,,是,930,470,2020,否,,,0,6以上,5,是,必修,微積分 ( 一 ),Engineering and Technology,沒意見,否,,,,,,,,,,贊成,普通,同意,同意,普通,普通,普通,,,,,,,,
理學院,,大三,,,,,,,物理系,,,,,生理男,否,,是,750,435,2018,否,,,1,0,5,是,選修,後真相時代的批判性思維,Social Sciences & Management,沒意見,否,,,,,,,,,,不贊成,,,,,,,,不同意,非常同意,普通,同意,非常同意,同意,非常不同意
西灣學院,,,,,,,大一,,,,,,,生理女,否,,否,,,,否,,,3,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西灣學院,,,,,,,大一,,,,,,,生理女,否,,否,,,,否,,,7,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,大四,,,,,,,外文系,,,,,,生理女,否,,是,955,495,2019,有考托福,102,,20,6以上,9,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大一,,,,,,,物理系,,,,,生理女,否,,否,,,,否,,,0,3,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社會科學院,,,,,大四,,,,,,,,政經系,生理女,否,,是,560,265,2020,否,,,0,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大一,,,,材光系,,,,生理男,否,,否,,,,否,,,3,0,5,是,必修,光概,Natural Sciences,沒意見,否,,,,,,,,,,贊成,普通,普通,普通,同意,同意,同意,無,,,,,,,
海洋科學學院,,,,大一,,,,,,,,海資系,,生理女,否,,否,,,,否,,,0,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大一,,,,,,,,資管系,,,生理男,是,馬來西亞,否,,,,否,,,1,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理男,否,,是,730,260,2020,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理女,否,,是,800,475,2019,否,,,1,6,7,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理女,否,,是,615,300,2019,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大二,,,,,,,,企管系,,,生理女,否,,是,730,365,2019,否,,,3,0,4,是,選修,國際文化體驗,Arts & Humanities,沒意見,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,同意,同意,非常同意,同意,不同意
社會科學院,,,,,大四,,,,,,,,政經系,生理女,否,,是,860,455,2020,否,,,0,3,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大一,,,,,,,化學系,,,,,生理男,否,,是,650,350,2019,否,,,2,6以上,5,是,選修,觀光英語,Social Sciences & Management,贊成,否,,,,,,,,,,贊成,普通,同意,同意,普通,同意,同意,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理男,否,,是,830,400,2020,否,,,10,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大四,,,,電機系,,,,生理女,是,新加坡,否,,,,否,,,16,6以上,7,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大四,,,,,,,化學系,,,,,生理男,否,,否,,,,否,,,4,6以上,2,是,選修,當代西洋外交史,Social Sciences & Management,非常贊成,否,,,,,,,,,,不贊成,,,,,,,,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常不同意
海洋科學學院,,,,大二,,,,,,,,海資系,,生理女,否,,是,515,250,2019,否,,,2,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理女,否,,否,,,,否,,,2,0,5,是,必修,英文中級,Arts & Humanities,贊成,否,,,,,,,,,,贊成,普通,同意,同意,同意,同意,同意,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理女,否,,是,750,420,2018,否,,,4,0,8,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海資系,,生理女,否,,否,,,,否,,,0,6,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社會科學院,,,,,大三,,,,,,,,社會系,生理男,是,,否,,,,否,,,13,6以上,3,是,必修,科學,Natural Sciences,贊成,否,,,,,,,,,,贊成,普通,非常同意,同意,同意,普通,普通,沒,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海科系,,生理男,否,,是,750,310,2019,否,,,0,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理學院,,大二,,,,,,,生科系,,,,,生理女,否,,是,855,445,2019,否,,,2,0,8,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大三,,,,,,,,企管系,,,生理男,否,,否,,,,否,,,1,0,5,是,必修,商事法,Social Sciences & Management,不贊成,否,,,,,,,,,,贊成,不同意,同意,同意,同意,普通,同意,,,,,,,,
海洋科學學院,,,,大二,,,,,,,,海科系,,生理女,否,,是,845,450,2019,有考托福,93,,18,2,8,是,選修,海洋生態概論/統計學2,Natural Sciences/Social Sciences & Management,贊成,否,,,,,,,,,,贊成,普通,非常同意,普通,同意,普通,同意,,,,,,,,
管理學院,,,大四,,,,,,,,財管系,,,生理男,否,,是,860,430,2010,否,,,0,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工學院,,,,,,大四,,,,機電系,,,,生理男,否,,是,625,375,2021,否,,,0,0,6,是,必修,科技英文與簡報,Engineering and Technology,非常贊成,是,選修,電腦輔助工程(系上選修課，老師為外國人),,非常贊成,否,,,,,贊成,不同意,非常同意,同意,同意,普通,普通,無。,,,,,,,
社會科學院,,,,,大四,,,,,,,,政經系,生理男,否,,是,825,400,2020,否,,,10,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理學院,,,大四,,,,,,,,資管系,,,生理男,否,,是,800,390,2019,有考托福,90,,0,2,6,是,選修,應用英文,Arts & Humanities,贊成,是,選修,西方文學史,,贊成,否,,,,,贊成,同意,非常同意,普通,同意,普通,同意,,,,,,,,
文學院,大四,,,,,,,外文系,,,,,,生理女,否,,是,945,495,2020,否,,,20,6以上,9,是,選修,國際現勢與公民視野,Social Sciences & Management,贊成,是,選修,當代西洋外交史,,贊成,是,必修,統計,,不贊成,贊成,普通,同意,不同意,同意,非常同意,非常同意,,,,,,,,
文學院,大一,,,,,,,中文系,,,,,,生理男,否,,否,,,,否,,,8,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社會科學院,,,,,大三,,,,,,,,政經系,生理女,否,,是,630,315,2018,否,,,1,3,4,是,選修,統計學,Social Sciences & Management,不贊成,否,,,,,,,,,,不贊成,,,,,,,,普通,非常同意,同意,非常同意,同意,同意,不同意
