CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,3,12691,777,1144,42
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,2,8256,864,1291,33
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,0,3418,0,1887,20
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,1,3313,2517,1171,20
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,0,4716,0,816,28
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,2,4010,1247,1088,24
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,3,34516,2264,1330,31
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,29081,1396,1538,36
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,0,22352,2517,1350,24
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,11656,1677,1441,32
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,2,6748,1467,1201,42
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,3,9095,1587,1314,26
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,0,11751,0,1539,17
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,3,8547,1666,1311,33
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2436,680,1570,29
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,2,4234,972,1348,27
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,3,30367,2362,1671,27
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,1,13535,1291,1028,21
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,3,3193,2517,1336,30
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,2,14470,1157,1207,21
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,0,20979,1800,1178,27
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,1438.3,0,692,16
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,1,4470,680,931,18
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,2,2492,1560,1126,23
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,3,12217,0,1110,21
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,2,7768,1669,1051,22
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,2,14784,1374,1197,23
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,2,10215,1010,1904,40
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,10100,0,1052,18
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,4785,1362,1045,38
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,3,2753,1811,1038,25
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,1,2451,1690,1596,26
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,2,8923,2517,1589,24
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,3,2650,1490,1411,28
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,12555,1696,1291,24
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,1,3520,1914,1407,43
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,3,3035,2298,1877,37
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,15433,0,966,22
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,2,3672,886,1464,28
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,3,7882,605,704,16
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,32426,578,1109,28
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,0,6205,2204,1347,28
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,3,17304,2517,1756,33
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,1,3906,0,1756,32
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,9830,2055,1042,23
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3,34516,0,1444,28
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,0,2283,1430,1741,27
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2548,2020,1719,27
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,19458,1435,1217,27
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,4745,1227,1140,40
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,2,2622,1549,1878,30
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,1,1438.3,808,705,19
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,2,3171,2179,1946,38
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,0,19763,2517,1414,35
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,15769,0,602,15
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,2,3298,2200,1052,32
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,0,2802,2363,1295,40
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,3,4458,1880,1424,29
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,2,6273,978,1359,25
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,3,3336,1753,1168,27
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,3,3436,2016,1097,33
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,34516,0,691,15
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,5926,1251,1316,28
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,2,23957,2102,1276,26
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,14734,1634,1289,23
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,4,34516,1515,1293,32
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,6584,1817,1353,35
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,2084,1468,1132,28
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,1687,1107,1670,17
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,25300,1330,837,15
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,3,34516,1763,1550,41
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,2216,1034,1540,36
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,3,2910,2030,1256,21
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,22913,1528,1394,35
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,24312,1932,1341,24
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,2,5272,1515,1289,33
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,2,7000,2517,1112,23
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,2,7038,1801,2339,57
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,2,2536,1823,1468,23
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,2,28904,1899,1334,35
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,0,8567,1695,1457,41
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,34516,1533,1603,29
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,3,2158,0,615,12
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,10133,1417,1068,20
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,2,34516,1219,1590,27
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,0,3085,1910,1531,35
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,1,19040,2056,1212,31
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,3,4026,0,1237,32
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,1,12756,837,1413,14
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,5266,0,1516,29
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,9930,0,1276,21
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,0,31302,1953,1564,35
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,3,6576,0,1465,34
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,1,2664,2037,1286,29
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,2,2535,2440,1312,20
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,3,1709,895,1673,32
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,2,3454,1200,1313,30
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,2,3789,1706,1609,42
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,0,9689,2250,1158,19
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,5449,1628,836,18
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,0,23032,1960,1289,22
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,34516,2053,1487,26
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2940,1264,1259,33
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3031,1879,1298,15
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,0,1862,0,1226,34
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,8358,926,1566,37
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,2,34516,931,1022,21
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,3,14450,2440,1235,30
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,1438.3,0,1951,44
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,2,33791,1960,1047,31
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,0,8466,1886,1342,32
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,15088,865,1107,21
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,2,3263,1674,1251,35
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,1494,706,1305,24
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,0,13551,1294,1388,37
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,18886,895,1235,18
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,0,11976,1273,2089,36
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,4,9964,1559,1626,25
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,3,24159,1196,1111,24
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,3,5362,1901,1553,38
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,34516,1023,1064,13
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,0,3174,1951,1243,29
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,12262,1836,1659,38
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3788,1540,1594,47
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,2,34516,1527,1268,42
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2926,0,1304,24
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,0,32090,0,1368,30
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2,11669,2227,720,23
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,2,13532,1300,1521,29
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,11888,2090,1137,30
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,2,2393,1985,978,16
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,2,6111,2517,1221,16
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,3,19270,1662,1565,28
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,4,3710,2517,1578,34
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,3,3235,797,1493,32
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,0,11749,788,1178,27
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,2,7753,2100,991,26
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,0,10408,1186,2560,42
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,3,3967,1568,1657,29
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,6205,2517,1204,19
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,8025,0,673,18
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,3,9036,2327,1131,18
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,2,14926,2517,1576,25
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,3,6335,1128,1217,20
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,14979,0,530,10
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,3,2732,0,739,16
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,2,2250,2117,1617,31
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,0,10916,1536,1592,34
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,3,5349,1228,1343,30
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,3,9366,1104,1303,39
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,0,21617,0,1351,22
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,3,13860,1652,1910,32
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,3,18386,0,1298,22
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2405,1540,1087,29
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,3,2154,930,1439,26
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,2038,0,1238,28
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,3,8135,0,1716,29
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,3,9364,618,1099,27
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,2,32643,0,1058,24
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,1,3195,1954,1285,29
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,1,2852,1024,1651,28
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,4224,1305,1152,31
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,20459,2071,1767,38
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,3,3482,2114,1039,24
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,3,3065,1570,1130,28
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,2,2185,1761,1645,30
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,0,1611,746,1413,29
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,2822,2173,1218,23
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,32975,2517,597,17
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,1438.3,0,2184,53
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,15875,1719,1592,37
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,6703,893,1388,28
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,1,3212,0,757,20
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,3,34516,1260,1504,34
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,2,9797,1434,1503,34
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,10400,1777,1105,28
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,2,26792,1836,2398,47
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,2,3006,2517,1661,32
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,0,19482,1072,1421,22
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,3,3356,985,999,28
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,1,5771,2248,1387,18
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,3,11106,2107,1243,24
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,0,2890,2001,1860,36
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,3380,1701,1502,25
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,2,21331,1251,1460,50
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,1,12860,0,1348,27
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,0,6278,462,1087,33
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,5,3,1438.3,738,1226,33
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,2,9355,1626,1230,28
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,3,20758,0,1555,32
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,1,14612,1976,1827,24
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,0,27259,0,1376,35
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,3,6347,1594,1771,37
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,0,21592,1676,1873,52
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,3449,1598,1679,42
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,2,6028,799,1002,22
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,3,18214,1998,1344,21
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,1,16393,1423,1461,42
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,2,1438.3,900,760,21
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,4,2,7871,1687,1428,22
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,0,5288,866,1777,42
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,3,11376,2006,1302,27
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,3,12302,1632,1483,41
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,1,34516,1679,1060,27
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,34516,1468,1330,32
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,10514,1580,1229,27
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,3,1438.3,0,886,27
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,1438.3,0,844,24
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,2,2619,1779,1450,37
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,0,24407,2395,2311,48
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,2,2377,1649,1378,26
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3,3,34516,1359,1033,26
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,11086,2207,1523,40
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,11432,2517,1374,37
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,5,2,13258,1721,1080,21
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,3,2571,1955,1234,24
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,0,5781,1168,1600,32
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,5,2,7872,2509,1155,32
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,6,2,34516,1202,1353,33
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,3,11127,1835,1546,25
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,2,3,1857,1603,1590,43
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,0,1913,1272,1448,22
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,0,3839,2295,1271,24
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,3,2115,1141,1223,20
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,1438.3,679,1117,29
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,4,0,27756,1789,994,24
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,4,2,1438.3,0,1468,26
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,2,13878,2222,1658,38
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,3,3106,1304,1368,38
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,3,34516,1666,1218,18
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,3,1438.3,1025,702,12
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46,2,0,18871,1740,1516,21
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,5207,1748,1310,26
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,17965,1644,1767,50
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,3,2733,1819,933,25
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,4,2,8863,1301,1512,27
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,1857,1833,829,17
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,3,34516,0,1120,27
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,11107,1222,1506,33
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,4,2,21573,1585,1384,36
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,3,2859,2517,817,30
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,5269,1475,2094,25
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,3,1438.3,0,815,21
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,2,3387,0,510,24
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,3,1982,1289,1377,49
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,4645,1650,1193,33
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,2,2189,1666,1287,36
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,2442,0,701,19
